id,kepid,koi_name,kepler_name,disposition,pdisposition,score,period,radius_planet,temp_planet_eq,insolation,duration,depth,model_snr,temp_star_eq,radius_star,mag_star,ra,dec,star_type
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1.0,19.27153892,1.93,393.0,5.66,2.7594,1219.8,37.1,4077.0,0.56,15.385,293.97336,50.53191,Orange
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1.0,10.06524317,1.91,488.0,13.43,1.369,1053.3,30.3,4077.0,0.56,15.385,293.97336,50.53191,Orange
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1.0,12.3935651,2.66,677.0,49.68,3.8896,916.6,35.8,5557.0,0.75,15.505,296.02133,50.56778,Sun-like
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.998,43.84439721,2.87,531.0,18.77,6.802,615.2,83.7,5854.0,1.012,12.882,300.86398,44.337551,Sun-like
72,3120431,K00798.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,3.341913228,21.55,1032.0,268.67,3.813,725.3,39.0,5295.0,0.811,15.629,292.31595,38.27029,Sun-like
73,3246984,K00799.01,Unnamed,CANDIDATE,CANDIDATE,0.773,1.626630225,32.43,1547.0,1355.88,2.1145,1620.6,103.6,5735.0,0.973,15.279,294.36819,38.31028,Sun-like
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,1.0,2.711504086,3.12,1420.0,960.79,3.0099,837.5,64.5,6214.0,1.076,15.541,291.65353,38.494659,White
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,1.0,7.21203748,3.32,1025.0,260.58,4.0491,950.4,51.5,6214.0,1.076,15.541,291.65353,38.494659,White
76,12459725,K00789.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.371,14.1798187,1.88,711.0,60.35,2.505,459.9,11.2,5799.0,0.878,15.727,291.0448,51.321671,Sun-like
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,1.0,8.47237911,2.59,751.0,75.44,2.7245,1123.5,47.6,5354.0,0.788,15.339,296.36652,51.319519,Sun-like
